ID	분류	한국어명	영문명	Gemini 키워드	용도/풍자	추천 조합	비고
WP-01	권력 정장	맞춤 다크 수트	tailored dark business suit	well-tailored dark navy suit, crisp white shirt, neat slim cut, polished	기득권·권위·공직 — 정장 자체가 '제도권'의 기표. 풍자는 핏을 어긋내(낀 단추·번들거림)	STYLE07+LIGHT15+EM-12(직시)	실존 인물은 캐리커처·라벨(SF-07)로만. 가장 기본 기표
WP-02	권력 정장	넥타이 색 코드	necktie color code	silk necktie in saturated [red/blue] color, bold knot	빨강=공세/보수 진영, 파랑=진보 진영 — 색이 곧 진영 선언(한국 정당색 함의)	WP-01+CE(색-감정)+VR-29	색 매핑은 14 CE 참조. 진영 풍자의 최단 기호
WP-03	권력 정장	번들거리는 과시 수트	flashy glossy power suit	glossy sharkskin suit, oversized shoulders, loud pocket square, gaudy	졸부·과시·허세 권력 — 광택·과장으로 천박함 폭로	STYLE25(3등신)+LIGHT17	풍자 톤. 절제 수트(WP-01)와 대비 연출
WP-04	제복	경찰 제복	Korean police uniform	dark navy Korean police uniform, peaked cap, badge, utility belt	공권력·단속·진압 — 보호 vs 억압의 양가성 풍자	ENV(관공서)+LIGHT18(형광)+EM-09	계급장·소속은 가상 처리. 실제 마크 복제 회피
WP-05	제복	군 전투복	military combat fatigues	camouflage combat uniform, beret or helmet, rank insignia	군·안보·동원 — 권위·강경·비상사태 기표. 풍자는 부조화 맥락(회의실 군복)	WP-15(국기)+LIGHT04+H03(로우)	특정 부대 마크 회피. 안보 정국 재연
WP-06	제복	소방·구조복	firefighter / rescue gear	yellow-and-black bunker gear, reflective stripes, helmet	재난·구조·헌신 — 영웅성 또는 재난 책임 풍자	GEN-09(재난)+WX(연기)+LIGHT22	재난물 장르와 세트. 반사 스트라이프가 식별 키
WP-07	제복	교복	Korean school uniform	Korean high-school uniform, blazer, name tag, neat collar	교육·세대·청년 — 입시·청소년 정책 풍자. 이름표=개인 식별 기표	STYLE12(애니)+EM-04	아동·미성년 표현은 SF 안전망 준수. 캐리커처 한정
WP-08	제복	법복	judge's robe	black judicial robe, formal collar, gavel nearby	사법·판결·권위 — 정의 vs 자의적 권력 풍자. 가운=초월적 권위 기표	GEN-06(법정)+WP-31(도장)+LIGHT19	법정 장르와 핵심 세트. 망치(gavel)=환유
WP-09	전통복	한복(채색)	colorful hanbok	vibrant traditional Korean hanbok, flowing lines, jeogori and chima	전통·민족·격식 — 명절·국가의례. 국회 등장 시 진영 퍼포먼스 기표(실측: 여당 채색 한복)	STYLE02+ENV(시대극)+LIGHT07	실측 출처: 국회 한복 vs 흑정장 대비 사례
WP-10	전통복	흰 한복(저항)	white hanbok (resistance)	plain white hanbok, austere undyed cloth, somber dignity	저항·애도·청렴 — 흰색=반부패·민중·독립운동의 기표(역사적 함의)	WP-29(검은리본)+LIGHT05+STYLE03	검증: 흰 한복=근대 한국 저항의 상징(연구 정설)
